Number of Timesteps,Number of Flows,Number of crossover flows,Number of Groups
3,7,0,7
4,34,98,17
5,63,226,24
4,40,142,17
5,42,102,21
5,46,116,22
3,15,24,9
4,23,28,17
6,56,136,26
5,28,34,19
5,27,34,18
5,45,116,22
3,9,4,9
4,37,114,16
6,55,176,26
3,7,0,8
5,39,54,21
6,60,126,29
5,55,222,21
4,34,82,17
6,58,196,27
3,15,16,9
4,21,40,17
5,42,88,23
3,10,5,8
4,36,156,18
6,50,148,25
3,13,18,8
5,35,50,20
6,56,168,28
3,10,10,7
5,33,64,19
5,45,152,22
5,50,130,23
4,36,74,19
6,58,158,28
3,11,6,8
5,67,228,23
6,49,92,27
6,57,156,26
5,50,132,19
6,75,236,29
3,7,2,6
4,25,42,14
5,63,214,24