Q8.1;Q8.2;Q8.3;Q8.4;Q8.5;Q8.6;Q8.7;Q8.8;Q8.9;Q8.10;Q8.11;Q8.12;Q8.13;Q8.14;Q8.15;Q8.16;Q8.17;Q8.18;Q8.19;Q8.20;Q8.21;Q8.22;Q8.23;Q8.24;Q8.25;Q8.26;Q8.27;Q8.28;Q8.29;Q8.30;Q8.31;Q8.32;Q8.33;Q8.34;Q8.35;Q8.36;Q8.37;Q8.38;Q8.39;Q8.40;Q8.41;Q8.42;Q8.43;Q8.44;Q8.45;Q8.46;Q8.47;Q8.48;Q8.49;Q8.50;Q8.51;Q8.52;Q8.53;Q8.54;Q8.55;Q8.56;Q8.57;Q8.58;Q8.59;Q8.60;Q8.61;Q8.62;Q8.63;Q8.64;Q8.65;Q8.66;Q8.67;Q8.68;Q8.69;Q8.70;Q8.71;Q8.72;Q8.73;Q8.74;Q8.75;Q8.76;Q8.77;Q8.78;Q8.79;Q8.80;Q8.81;Q8.82;Q8.83;Q8.84;Q8.85;Q8.86;Q8.87;Q8.88;Q8.89;Q8.90;Q8.91;Q8.92;Q8.93;Q8.94;Q8.95;Q8.96;Q8.97;Q8.98;Q8.99;Q8.100;Q8.101;Q8.102;Q8.103;Q8.104;Q8.105;Q8.106;Q8.107;Q8.108;Q8.109;Q8.110;Q8.111;Q8.112;Q8.113;Q8.114;Q8.115;Q8.116;Q8.117;Q8.118;Q8.119;Q8.120;Q8.121;Q8.122;Q8.123;Q8.124;Q8.125;Q8.126;Q8.127;Q8.128;Q8.129;Q8.130;Q8.131;Q8.132;Q8.133;Q8.134;Q8.135;Q8.136;Q8.137;Q8.138;Q8.139;Q8.140;Q8.141;Q8.142;Q8.143;Q8.144;Q8.145;Q8.146;Q8.147;Q8.148;Q8.149;Q8.150;Q8.151;Q8.152;Q8.153;Q8.154;Q8.155;Q8.156;Q8.157;Q8.158;Q8.159;Q8.160;Q8.161;Q8.162;Q8.163;Q8.164;Q8.165;Q8.166;Q8.167;Q8.168;Q8.169;Q8.170;Q8.171;Q8.172;Q8.173;Q8.174;Q8.175;Q8.176;Q8.177;Q8.178;Q8.179;Q8.180
f flow units in the diagram;"Find the largest flow in the diagram (Write your Answer as Group1,Group2)";Which group in the diagram has the most flows connecting to it?
;;;;;a1;;;;d1;;;;;;;C , D;;;;;;;;;;;;;;;;D , E;;;;;;"d2, e1";;;;;;;;"d2,e3";;;;;;;;;;;;;;A , B;;;;;;"b2, c2";;;;;;;;"c1,d1";;;;"b2, c4";;;;;;;;;;;;;;;;;;;;;;;;;a3;;;;;;;;;;;;;;e5;;;;;;;;;;;;;;;B , C;;;;;;;;;e4;;;;a2;;;;;;;E , F;;;;;;;;;;;;;b1;;;;;"b2, c2";;;;;;;;;
;;;;;;;;;;"d1,e1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;b5;;;;b2;A , B;;;b3;;c2;;c2;;;;;;;;;;;;;;;;;;;;;;;;;;c1;;;B , C;;;;;;;;;c2;;;;;;;;;;;;;;;B , C;;;;;;;;;;;;;;;;;;;b3;;;;;;;"c2,d4";;;;;;;;;;;;;;;;"c3,d2";;;;"e1,f5";d2;C , D;;;;;;;;;;;;;;;;;;"d3,e1";
;C2;;;A , B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C , D;;;;;;;;;;"B3,C1";;;;;;;;;;;;;;;D4;;;;;;C2;A , B;;;;;;;;D , E;;;;;;;A;;;;;;;;;;;;;;;"C3,D3";;;;;;;;;;;;;;;;;;;;"A2,B1";;;;;;;;;;;;;;;D4;;;E , F;;;;;;;A2;;;;;;;;;;E1;;;;;;C;;;;;;;;;;;"B3,C1";;C , D;;;
;;;;;;;;;;;;B , C;D1;;;;;;;B , C;;;;;;;;;;"C1,D2";;;;"E1,F4";;;;;;;;;;;;;;;;;;;;;;;;"D1,E1";;;;;;;;;;;;"E2,F5";;;;;;;B3;;;;;;;;;;;;;"C3,D3";B3;;;;;;;;B1;;;;;;;;D1;;;;;;;;;;;;;B , C;;;;B , C;;;;;;;;;;;;;;;;;;;;;;"B3,C3";;;;;;;;;E2;;;;;;;;;;;"E3,F4";;;;;B2;;;;;;;;
;;;;;;;;A , B;;;;;;;b3;;E1;;;;;;;A , B;;;b3;;;;;;;;;;b3;;;;;"b2,c3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d1;;;;;;;;;;;;;"b2,c1";;;;;;B , C;;;c5;;;;;;;;;C , D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"d1,e1";;;;;;;;;;;;;;D , E;;;;;;;;D , E;;;;;c1;"b2,c12";;;;;;;;;;;;;c3;;;;
;;"B2, C2";;;;;;;;;;;;;;;;;;;;;;;B3;;;;;;;;;;;;C2;;;C , D;;;;;;;;;;;;;;"C1, D3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;C4;A , B;;;;;;;;;D1;;;;B1;;;;;;;;;;;;;;;;;;B3;;;"D1, E5";;;;"A2, B1";;;;;;;;;;;;;;B , C;;;;;;;;;;"B3, C3";B1;;;"B3, C2";;;;;;;D4;;;;;;;;;;;;;;;;;;;;C1;;
;;;B2;;;;;A , B;C2;"D1,E1";;;D1;;;;;;;;;;;;;;;;;;;;;;;;;"D2,E1";C2;;;;;;;;B5;;;;;;;;;B , C;;;;;;;;;;;;C , D;;;;;;;;;;;C2;;;;;;;;;;;;;;;;;A , B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B2;;E1;;;;;;;;D4;;C4;;;;;;;;;D , E;;;;;;;;;;;;;;;;C , D;;;;;;;;;;;;;;;
;;;;A , B;;;;;;;;;;;;C , D;;;"C4,D4";;;;;;;;;;;;;;;"C4,D1";;;;;;;;;;;;;;;"B2,C1";;;;;;;;"C1,D3";;;;;;;;"C2,D4";;;;;;;;;;;;;;;;;;;;;;;B , C;;;;;;;;;;;"A1,B1";A , B;;;"A5,B4";;;;;;"A2,B2";"A2,B2";;;;"D2,E1";;;;;;;;;;;;;;A , B;;;;;;;;;;;;;;;;;;;;;"C3,D4";;;E , F;;;"E2,F5";;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;"C2,D4";;;E1;;;;;;;;;;B3;;;;;;;;;;;;;;E1;;;;;;;A , B;;;;A , B;;;B3;;;;;;C1;;;;;"B2,C2";;;;;C1;;;;B4;;;"B3,C4";;;;;;;C1;;;;;;;C , D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B2;"C5,D4";;;;;;;;;;;;;;E , F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C1;;;;
;;;;;;;;;;;;;;;;;;;;;;;;A , B;;"B2,C2";;;;;;;C4;;;;;;;;;"B2,C3";;A , B;;;;;;;B2;;;;;;;"D1,E1";;;;;B3;;;;;;;;;A , B;D1;;;C , D;;;;;;"E4,F4";;;;;B3;;;;;;;;;;;;;;;;;;D1;;D1;;;;;;;;;;;;;;;;;;;;;;;"D4,E1";;;;;;;;;;;;;;;;;;;;;;;;;;;;"E1,F5";;;;;;;;;;;;;;;C1;;;;;;
A , B;;;;;D4;;;;;;;;;;;;;;;;;;;;;;;;;"C1, D2";C4;D , E;;;C3;;;;;;;;;;;;;;;;;;;;;;;;;;;"B3, C1";;;;;;;;;;;;;;;;;;;F4;;;;;;;;;;B3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B , C;;;;;;;B3;;;;;;;"C5, D4";;;;;;;;;;;;;D1;;;;;;;;;;;;;;;"E3, F4";C3;B , C;B2;;;C , D;;;;;;;
;;;;;;"B2,C4";;;;;;;;;;;;;;;;"D2,E4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;C1;;;;A1;;;;;;;;;A , B;;;;;;;;;;;;;;;;;;;;A , B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"D2,E1";B3;;;;E2;;;;;;B3;;;;;"D4,E1";;;;"C1,D1";;;;;;;E3;;;;;;;C , D;;;;;;"C3,D2";;;;;;;;"B2,C1";C1;;;;C4;;;;;;;;;;;;
;;;;;;;;;;;;B , C;;;;;;;;;;;B2;;;;;;;;;;;;;;;;;;;;;;D2;;;;;;;;;;;;;;;;;;;;;;B3;;;;;;;;;;;;;D , E;;;;;;;;;;;;;;"D3,E4";C2;;;;;;C3;;;D , E;;"B2,C2";;;;;;;;;;E , F;;;C1;;;;;;;;;;;;;B , C;;;;;;;;;;;;A , B;;;;;;;;;;;;;;;D2;;;C1;;;;;;;;;;;;"B3,C1";;;;;C1
;;;;;;;;;C2;;;;;;;;;;;;;;;;;"B2,C2";;;C1;;C4;;;;;;;;;C , D;;;D3;;;;;;;;;;;;;;;;;;;;;;;;;;;;C1;A , B;;"C1,D1";;C , D;;;;;;;;;;;;B , C;;;;;;;;;;;;;;"C3,D3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D2;"C3,D2";;;;;;;;;C1;;;;;;B2;"B2,C2";;;;;;;D3;;
;;;;;;"B2,C4";;;;;B1;;;;;;;"D4,E1";;;E1;;;;;;;C , D;C1;;;;;;;;;;;;;;;;;;;;;;;;D3;;;;;;C2;;;;;A , B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B , C;;;;;C3;;;;B1;;;;;;;;;;;;;;;;;;;;E1;;;;;;;;;;;;;"C3,D2";;D , E;;;;;;;;;B5;;;;;;B;;;;;;;"D3,E1";
;;;;;;;;;;;B1;;D1;;;;;;;;E1;;B2;;;;B3;;;;;;;;;;B3;;;C , D;;;;;;;;;;;;;;;;;;;C2;;C1;;;;;;;;;;;;;;;;;;;;F4;;;;;;;;;;;C , D;;;D1;;;;;;;;;;;;;;A2;"A1,B1";;;;;;;;;;;B1;;B1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C , D;;;;;;"D3,E1";
;;;;;;;;;;;"B2, C2";;;;;;;"D4, E1";;B , C;;;;;;;;;;;;;;;D1;;;"D1, E1";;;;;;;A3;;E3;;;;;;;;;;;;;;A2;"B3, C1";;;;"B2, C2";;;C2;;;;;;;;;;;;;;;;;"B2, C1";;;;;;;;;;;;"B1, C2";;;;;;;;"B2, C2";;;;"A2, B2";;;;;;;;;;;;;;;;;;;;;;;;;;B , C;;;;;;;;;;;;;;;;;;;;;;;;;C1;;;;;"E3, F4";;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"b3,c1";;;;;c1;;;;;;;;;;;;d4;;;;;;;;;;;;b2;;;;;;;;;;;;;;;;;;;;;;;;;D , E;;;;;b2;;;;b3;"d2,e1";;;;;;;;;b1;;;;;;;;;;;"c1,d1";;;;;;E , F;;;;;c3;;;;d4;"b3,c2";;;;;;;;"e1,f5";;;;"b2,c1";;;b5;;;;;;;;;;c1;;;;
;;"B2,C2";;;;;;;;;;;;;;;;;;;;;B2;;;"B2,C2";;;;;;C , D;;;;;E3;;C2;;;;;;;;;;;;;A , B;;;;;;;;;C1;;B3;;;;;;;;;A , B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D1;;;;B2;;;;;;;;;;;;;;;;;;E1;;;B , C;;;;;D4;;;;;;;;C3;;;;;;D4;;;;;D , E;;;;;;;;;;;;;;;;;;;;;;;
A , B;;;;;;;;;;;;;;;;C , D;B3;;;;;;;;B3;;;;;;;;;"E1,F4";;;;;;;;;;;;;;A , B;;;;;;;;;;;;;;;;;;;D4;;;"E2,F5";;;;;;;;;B2;D , E;;;C4;;;;B3;;;;;;;;;;;;;;;;;;;;;B , C;;;;;;;;E , F;;;;;;"A2,B1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C1;C , D;;;;B , C;;;;;;;;;;;
;;;;;;;;;;;;;;"C2,D4";C1;;;;;;;;;;;;;;;"C1,D2";;;;;;;;;;;D3;"B2,C3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D , E;;;;;;;;;;;;;;;;;;;;;B4;;;;;;;B , C;;;;;;;;;;;;;B1;"A2,B1";;;;"C1,D1";;;;"D4,E1";;;;;B4;;;"C5,D4";C4;;;;;A , B;;"B3,C3";;;;;;;;;;;;;;;;;;;;;;;;;B2;;;;;;;;
;;;;B , C;D4;D4;;;;"D1,E1";;;;;;;;;B3;;E1;;;;;;;;;;;;F2;;;;;;C2;;;;;;;;;;;;;;;;;;;"D1,E1";;A , B;;;;;;;;E , F;;;;;;;;;;;;;F4;"E4,F4";C4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B , C;;;;;;;;A , B;;;;;;;;;;;;;;"D3,E1";E1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;c2;;;;;;;;;;;B , C;;;;;;;;;;;;;;;;;;;;;;;;C , D;;;;;;;;;;;;A , B;c1;;b2;;;;;;c2;;;;;;;A , B;;;;;;;;;d1;;b4;;;;;;;;;A , B;;;;;;;;;;;;;;;;;;;;;;;d1;;;;;B , C;;;;;;"d1,e5";;;;;;;;;;;e1;;;;;;;;;;;;e1;;;;;;;;;;;;;;;;;;;;;;;C , D;;;;;;;;;;"b3,c1";;;;;
;;;b2;;;;;;;;;;;;;;;;;;b2;"d2,e4";;;;;;;;;c4;;;;c4;;;;;;;;;;;;;;;;;;A;;;B , C;;;;A , B;;;;;;;;;;;;;;"c1,d1";;;;;;;;;;A , B;b3;;;B , C;;;;;;;d1;;;;;;;;;D , E;;;;;;;;;;;b3;;;;;;;;;;;;b2;;;;;;;;;;;;;;;;;;;;;;;;;;;"c3,d2";;;;;;;;;;;;;;;;;b2;;;;;;;;
;;;;;;;D4;;;"D1,E1";;;;;;;E1;;;;;;;;;;;C , D;;;;D , E;;;;;;;D1;;;;;;;;;;;;;;;;;;;"D1,E1";;;;;;;B2;;;;;;F5;A , B;;;B1;;;;;;;;E4;;;;;;;;;;E4;"D3,E4";;;;;;A , B;;;;;;;;;;;;;;;;;;;;B , C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C2;;;E , F;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;C , D;;;;;;;;;;;;B , C;;;;;;;;;C2;;;;;;;;;"C5,D2";;;;;;;B3;;;;;;;;;;B3;;;;;;;"B1,C2";;;;;;;;;;;;;;;;;;;;;;;C2;;;;B1;;;;;;B4;;;;;;;;;;;;;E , F;;;;;;;;B , C;;;D2;;;;;;B4;;;;;;;;;;;;;;;;;;D4;;;;;;;;;;;;;;;;;;;;;;;;;C , D;;"A2,B5";C5
;;;B2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"A3, B2";;;;;;A , B;B4;;;;;;;;;;;;;;;;;;;;;;;;;"B3, C4";;;;;;;;;B;;;"B3, C2";;;;;;A , B;;;;;;;B4;;;;;;;;B;;;;C;;;;E to F;;;;;;;;B2;;;;;;A to B;;;;;;;;;;;;;;B;;;;;E , F;;;;D , E;;;D;;;;;;;;;;;;;;;;;;;;
A , B;;;;;;;;;;;;;;;;;;"d4,e1";;;;;;;;"b2,c2";;;;;;;;;c4;;;"d2,e1";;;;;D3;;;;B5;A , B;;;;;;"c1,d3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A , B;;"b1,c2";;;;;;;;;;;;;;;;;;;e1;;;;;;;;;"B2,C5";;;;;;B , C;;;;;;"C5,D4";;;;;;;;;;;;;;;;;e2;;;;;;;;;;;;;;;;b2;;;;;;;;c1
;;;;C , D;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;"e1,f4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"B2,C2";B2;E , F;;;;;;;;;;;;;;;;;;"B2,C1";;B , C;;"C3,D3";;;;;;;;;;A , B;;;;;;;;B , C;;;;;;;;;;"D1,E5";;;;;;;;;;;b4;;;;B4;;;;;;;;;;;A , B;;;;;;;;;;;;;;;;;;;;;;;;;;"B2,C2";;;c2;"b3,c1";;;;;
;B2;;;;;;C1;;;;B1;;C1;;;;;;;;;;;;;;;;;;;;;;;C , D;;"D2,E1";;;;;;;;;;;;;B2;;;;;;C4;;;;;;;;;;;;;;;;B4;;;;;;;;C4;;;;;;;;;;;;;;;;;;B1;;;"C3,D3";;;;;;;;;;B , C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D4;;;;;;;;;;D2;;;;;;C3;;;;;;;;;"B3,C1";;;;"D3,E1";
;;"b2,c2";;;;;;A , B;b1;;;;;;;C , D;;;;;;;;;;;;;;;;;;;;;;;;;;"b2,c3";;;;;;;;;;;;;;;;;;;;c1;;;;;;;;;;;;;;;;;;;;;;;c1;;;;;;;;;;;;;;;;;;;;;;;;;;;;b3;;;;;"d1,e5";;;;;;;;;;;;;b3;;;;;;;;;;;;;A , B;;"b3,c3";;;;;;;d2;;;;;;d2;;;;;;;;;B , C;;"b2,c2";;;c1;;c1;;;;
;;;;;;;;;;;;;;;;;;;;B , C;;;;A , B;;;;;;"C1,D2";;;D1;;;C , D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"E4,F4";;;;;B3;;B3;;;;;;;;;;;;D3;;;;;"B2,C2";;;;;;B , C;;;;;;;;;;;;B , C;;;;A , B;;;;;;;;;;;;;;"D3,E1";E3;;;;;;;"B3,C2";;;;;;;;;;C , D;;;;;;;;;;;;;;;;B , C;;;
;C2;;B2;;;;;;;;;;;;;;;;;;;;;A , B;;;;;;"C1,D2";;;F2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2;;;;;;;;;;;D , E;;"E4,F4";;;;;;;;"b3,c2";B3;;;;;;;;;;D3;;;;;"b2,c2";;;;;C3;;;;;;;;;;;;;B , C;;;;A , B;;;;;;;;B , C;;;;E , F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B , C;;;
;;;;;D4;;;;;;;;;;;;;;;;;;;;;;;;C4;;C4;;;;;;;;;;;;;;;;;;;"A2,B2";;A , B;;;;C , D;C2;;;A , B;;;;;;;;;;;;;C2;"C1,D1";;C , D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D4;;;;;;;;;;B1;;;;;;;;;D , E;;;;;;;;;B5;;;;B2;;;;;;;;B3;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C4;;;;;;;;;;;;E1;;;;;;;;;;;;;;B3;;;;;;;;;A , B;;;;C , D;C3;;;;;;B4;;;"B3,C4";;;;;;;;"B2,C1";;;;;;C , D;;;;;;;;;;;;;;;;;;;;;;"B2,C3";;;;;;;;;;;;;;;;"D4,E1";B3;;;;;;;;;E , F;;;;;;;B1;;;;;;;;;;;;;;;;;;;"C4,D4";C3;;;;;;;;;;;;C1
;;;;;;;;;C2;"A2,B4";;;;;;;;"C3,D4";;B , C;;;;;;;;;;;;;;;;;;;;;;;;A , B;D2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B3;;;;;;;;;;;;;;;;D3;"B2,C3";;;B1;;;;;;;;B2;;;;;;;;;;;;C3;;;;;;;;;;;;;;;;;;B4;A , B;;;;;E1;;;;;;;C , D;;;;;;;;;;;;;;;;;;;;;;;;B , C;;;C1;;;;
;;;;;C1;;;;;;;B , C;;"C2,D4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B5;;B2;"B3,C1";;;;"C1,D3";;;;"D1,E1";;;;;;;D4;"B2,C2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B2;;;;;;;;;;;;B1;;B1;;B2;"C5,D4";;;;;;;;;;;;;;;;;;;;"B3,C3";;;;;;E , F;;;;;;;;C , D;;;;;;;;;;;;;;;;;;;
;;;;;D4;;B3;;;;;;;;;;;;;;;;;;C2;"A3,b2";B2;;;;;;;;;;D3;;;;;;;;;;;;;;;;C2;;;;;;;;;;;;;;B3;;;;;;;;;C , D;;;;C , D;;;;A , B;;;;;;;;;;;;B , C;;;;;;;B2;;;;;;;;;;;;;;;"E5,f3";;;;;;;;;;;;"A4,b4";;;C2;;;;;;;;;;;;;;;;;;;;;"E1,f1";;;;;;;;;;;;"C3,d2";;;;;;;;;;;;;
;;;;;;;;A , B;;;;;;;;;;;;B , C;;;;;;;;;;;;;;;c2;;;;;C , D;;"c3, d1 d2 d4";;;;;;;c1;"b2, c1";;;;;;;;;;;;;;;d4;;;;;;;;;;;;;;;;;;;;;;;;;;;;"d3, e4";;;;;;"a2, a1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;A , B;;;;;;;"b4, d3";;d4;;;;E1;;;;;;;C , D;;;"c1, c2, d1, d4";;;;;;;;;;;;;;;;;;;;;;c1;;;;d3;;
;;;;;;;;;;;;B , C;;;;;;;;;;;;;;;;;;"C1,D2";;;;;;;;;;;;;;;;;;A , B;;;;A , B;;"C1,D3";;;;;;;;;;;;;;;;;;;;"C1,D1";;;;;;;;;;;;;;;;"B3,C2";;C , D;;;D1;;;;;;D3;;;;;;;;;;;;;"D2,E1";;;;;C1;B , C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D2;;;"B2,C1";;;;;C3;;;;B2;;;;;B , C;;;
;;;;A , B;;;;;c2;;;;d1;d1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;b2;;;;c1`;;;;;;c2;;;;;;;A , B;;;;;;;;;;;;;;;;;;;;;b3;;;;;;;;;"d3,e4";;;;b3;;A , B;;;;;;;;;;;;;d2;;c3;;;;;;;;;;;;;;;;;;;;;;;;c3;;;;;;;b3;b3;;;;;;;;;;;"d4,e5";;;;;;;;;;;;;;;;;;;;;
;;;B2;;D4;;;;;;B4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D2;;A3;;;;;A,B;;;;;;;;;;;;;;;;;;;;;;;B2;;;;;;;;;A,B;;;;B,C;;;;;;;;;C2;;;;;;;;F1;;;B,C;;;;;;;;;B4;;;;;;;;B2;;B1;;;;;;;;;;;;;;;;;;;;;;;"B3, C2";;;;;;;;;;;;;;B,C;;;;;;;;C,D;;;;;;;
;;;;;;D4;;;;;B1;;;;;;;;;B,C;;;;;;"B2,C2";;;;;;;F2;;;;;;;;;"B2,C3";;;;;;;;;;;;;;;;;;;;;;;;;D4;;;;;A,B;;;;;;;;;;;;;;;B3;B,C;;;;;E4;;;;;;;;;;;D,E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"C2,D4";;;;;;;;;;D,E;;;;;;;;;;;;;C1;;;;;;C3;;;;;;;;C1;;E1;;
;;;;;;;;A,B;;;b1;;;;;;e1;;;;;;;;;;;;;;c4;;d1;;;C,D;;;;;;;;;;;;;;;;;;;;;;;;A,B;;"b3,c1";;;;;;;;;;;;;;;;"b3,c4";;;;;;A,B;c1;;;;;;;;;;;;;;;;;;;;;"b2,c2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;b2;;;;;;;;c2;"b3,c2";d4;E,F;;;;;;;;;c1;;;;;;;;;;;;;;;;;;
;C2;;;;;;;A,B;;;;;;;;;;;;;;;;;;;B3;C,D;;;;;;"e1,f4";;;E3;;;;;"b2,c3";;;;;B5;;;;B2;;;;;;;;C2;;;;;;;;;;;;;;;;;;;;C4;;;;;;;;;;;;;;;"c1,d3";;;;;;;;;;;;;;B,C;;;C3;;;;;;;"b4,c3";;;;;;;;;;;;;;;;;;B,C;;;;;;;;;;;;D,E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;C,D;;C4;;;;;;;;;;;D3;;D3;;;;;;;;;A,B;;;;;C2;;;;;;;;;;;E,F;;;;;;;;;;;;C,D;;;;;B3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E5;;B1;;B1;;;;;;;E1;;;;;;;;;;;;;C4;;;Group 2;;;;Group 2;;;;;;;;;;;;;C3;;;;;;;;;;C3;;;;;;
;;"B2,C2";;;;;;;;;;;C1;;;;;;;;;;;;B3;;;;;;;;;;;;C2;;;;;;;;;;;;;;;;;"C1,D3";;;;;;A,B;;;;;;;;;;;;;;"C1,D1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"A2,B3";;;;;;B,C;;;;;;;;;;;;;;;;;;;;;B4;"C1,D1";;;;;;;;"D3,E1";;;;;;;;;;E,F;;;;D,E;;;;;;"B2,C1";;;;;;;;;;;;"A3,B2";;B,C;;;C1
;c2;;;;;;c1;;;"d1,e1";;;;;;;;;;;;;;A,B;;;;;;;c2;;;;;;;;;;;;;;;;a3;;;;;;;;b3;;;;;;;;;;;;;;;"e2,f5";;;;"c1,d1";;C,D;;;;;d3;;d5;;;;;;;;;;c;;;A,B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c;;;;;;;;;;;C,D;;;;;;;;;;;;;;;;;;;;;;;b1;;;;;;;;c1
;;;;;;;;;;;;;D1;"C2,D4";C1;C,D;;;;;;;;;;;;;C2;;;;;;;;;;;;;;;;;;;;;;;A,B;;;;;;;;;;;;A,B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B3;;;E,F;;;;;;;B1;;;;;;;;B3;B,C;;;;;;;;;;;;;;"B3,C3";;;;;;;;;;;;;;;;;;;;;;;;;;C,D;;;C1;B,C;;"D3,E1";C1
;;;;;;;;;;;;;;;;;;;;B,C;;;;;;;;C,D;;;;;;;;;;;;;;;;A,B;;;;A,B;;;;;;;;;;;C2;;;;;;;;;;;;;;B3;;B3;;;;;;;;;;B3;;;;;;;;;;;;;;;;;;;;D4;;;;;;;;;;B3;;;;;;;;;B,C;B1;;;;;"D4,E1";;;;;;;;;;;;;;;;;B1;;;;;;;;;;;;D4;;;;;;;"B4,C4";;;;;;;;;C3;;;;C1
