Diagram Number,Complexity Level
Diagram 1,17
Diagram 16,18
Diagram 43,18
Diagram 13,25
Diagram 25,26
Diagram 37,28
Diagram 31,30
Diagram 28,42
Diagram 22,43
Diagram 7,51
Diagram 8,72
Diagram 23,82
Diagram 11,84
Diagram 44,85
Diagram 10,86
Diagram 29,110
Diagram 17,119
Diagram 32,121
Diagram 35,133
Diagram 20,137
Diagram 2,153
Diagram 24,158
Diagram 5,170
Diagram 14,171
Diagram 39,174
Diagram 12,188
Diagram 6,189
Diagram 4,203
Diagram 41,206
Diagram 34,208
Diagram 26,214
Diagram 18,221
Diagram 9,224
Diagram 33,224
Diagram 27,229
Diagram 40,245
Diagram 36,250
Diagram 30,258
Diagram 15,263
Diagram 21,287
Diagram 19,303
Diagram 45,306
Diagram 3,318
Diagram 38,323
Diagram 42,346